count,date,title,description,org_link,link
40,2024-02-14 19:03:00,원도심·신도심 공존… 인프라 개선으로 격차 줄인다,"저출산·고령화가 심화되는 현대 사회에서 어쩔 수 없는 현상이지만 행정의 중심지인 서구의 인구<b>감소</b>는... 특수영상 콘텐츠 관련 기업 유치와 <b>일자리</b> 창출, 정주 인구 유입 등을 통해 갑천 일원을 지역 경제 거점으로... ",https://www.daejonilbo.com/news/articleView.html?idxno=2113688,https://n.news.naver.com/mnews/article/656/0000079755?sid=100
41,2024-02-14 19:03:00,인구<b>감소</b> 원인 하나하나 따졌더니…지역별 족집게 대책 나왔다,인구<b>감소</b> 위험지역’ ‘<b>일자리</b> 취약지역’ ‘청년인구 저조지역’ ‘저출산 탈피 가능지역’ ‘인구<b>감소</b> 대응 시급지역’ 여섯 가지로 재분류한 것이다. 11개의 인구<b>감소</b>지역과 2개 관심지역이 있는 경남에 새 분류법을... ,https://www.hani.co.kr/arti/area/yeongnam/1128380.html,https://n.news.naver.com/mnews/article/028/0002676906?sid=102
42,2024-02-14 18:52:00,경기·경북·전남 '경제효과 3조' 이민청 유치전,이민청을 유치할 경우 3000명의 <b>일자리</b> 창출과 3조원 이상의 경제효과를 거둘 수 있을 것으로 추정된다. 14일... 22개 시·군 중 15개 지역이 인구 소멸 지역으로 전국 최대 인구 <b>감소</b> 위기에 부닥친 경상북도 역시 이민청... ,https://www.hankyung.com/article/2024021437801,https://n.news.naver.com/mnews/article/015/0004948430?sid=102
43,2024-02-14 18:24:00,어르신이 행복하고 편안한 전남 역량 모은다,"노인<b>일자리</b>는 7,000명이 늘어난 6만4,000명에게 제공하며, 참여자 활동비도 공익활동형 월 2만원... 김영록 전남지사는 “세수 <b>감소</b>로 많은 어려움이 있었지만 어르신 복지를 위해 올해 예산 1,000억원을 증액했다”며... ",http://www.jndn.com/article.php?aid=1707902417379790001,http://www.jndn.com/article.php?aid=1707902417379790001
44,2024-02-14 18:24:00,[대일응접실] 김동일 보령시장 &quot;글로벌 해양레저관광·탄소중립·보령형 포용...,지역 <b>일자리</b>를 창출하고 경제성장을 이끌어 갈 것이다. '살맛나는 보령형 포용도시 건설'은 위에서 설명한... 반가운 소식으로는 지난해 행안부와 통계청이 '인구<b>감소</b>지역 지원 특별법'에서 처음 도입한 개념인 '생활인구... ,https://www.daejonilbo.com/news/articleView.html?idxno=2113639,https://n.news.naver.com/mnews/article/656/0000079752?sid=102
45,2024-02-14 18:16:00,답안보이는 '수도권 쏠림'…인구·취업자수·기업체 절반 이상 넘어,"실제 대구경북 취업자수 비중은 2019년 9.8%에서 2023년 9.5%로 0.3% <b>감소</b>했다.수도권 블랙홀 현상의 주된 요인은 역시나 높은 연봉을 보장하는 양질의 <b>일자리</b> 때문이다. 굵직한 대기업, 중견기업, 첨단 ICT업종 기업이... ",https://www.yeongnam.com/web/view.php?key=20240214010001621,https://www.yeongnam.com/web/view.php?key=20240214010001621
46,2024-02-14 18:14:00,"[전남일보]전남도, 올해 1조6천억 투입 노인복지사업 추진","노인<b>일자리</b>는 7000명이 늘어난 6만4000명으로, 참여자 활동비도 공익활동형 월 2만원, 사회서비스형 월... 김영록 전남도지사는 “세수 <b>감소</b>로 많은 어려움이 있었지만 어르신 복지를 위해 올해 예산 1000억원을... ",http://www.jnilbo.com/72768594948,http://www.jnilbo.com/72768594948
47,2024-02-14 18:08:00,"[중앙로365] 이민청 유치, 부산만 잠잠",노동력 <b>감소</b>에 대처하겠다는 취지다. 이민청 문제는 점차 다민족·다중문화 사회로 빠르게 진입하고 있는... 이민청이 자기 지역에 오면 얼마나 많은 <b>일자리</b>가 창출되고 생산유발 및 부가가치 효과가 얼마나 큰지 각종... ,https://www.busan.com/view/busan/view.php?code=2024021417551492652,https://n.news.naver.com/mnews/article/082/0001255603?sid=110
48,2024-02-14 18:06:00,국민은행 콜센터노동자들 &quot;AI로 업무강도 높아져···고용불안도 여전&quot;,"콜센터노동자들도 2년마다 새로운 용역업체와 근로계약을 맺는 방식으로 <b>일자리</b>를 유지하고 있다. 김현주... 국민은행은 &quot;AI 도입으로 콜 <b>감소</b>했다&quot;지만··· 노동자들, 식사·휴식 없이 통화하고 AI 학습 피드백까지... ",http://www.laborplus.co.kr/news/articleView.html?idxno=33288,http://www.laborplus.co.kr/news/articleView.html?idxno=33288
49,2024-02-14 18:04:00,"거창군, 경남도 내 최초 '교육발전특구 시범지역' 도전",인구 <b>감소</b>로 지역 간 불균형 심화와 지역 소멸 우려에 대응하는 정책이다. 지자체⋅교육청⋅대학⋅기업 등이 협력해 지역 인재들이 지역에서 교육받고 <b>일자리</b>를 찾아 정착하는 선순환 생태를 조성하는 사업이다. 군에서... ,http://www.kukinews.com/newsView/kuk202402140273,http://www.kukinews.com/newsView/kuk202402140273
50,2024-02-14 18:02:00,"경남도, 도민 만족도 높이는 정책 추진…민원콜센터 서비스 확대","지난 2022년 5월 13일 개소한 경남 민원콜센터는 <b>일자리</b>, 청년, 보건, 복지 등 도정 전반에 대해 지난해 총 4만... 상담콜센터는 하루 평균 150여 건의 여권 관련 상담을 추진하여, 현장에서 대기시간 <b>감소</b> 등 도민의 불편을... ",https://www.newspim.com/news/view/20240214001012,https://www.newspim.com/news/view/20240214001012
51,2024-02-14 17:55:00,[2024 희망! 경남시대] &quot;생동감과 활기 넘치는 모두가 행복한 산청 건설에 총...,여전히 사망자 수가 출생자 수보다 많아 자연<b>감소</b>분이 높아 인구가 줄어들고 있는 게 현실이지만 전입자... 아울러 산청-진주 <b>일자리</b>박람회 공동개최를 통해 취업시장에 활기를 더하고 양질의 <b>일자리</b>를 제공하는 등... ,https://www.hankookilbo.com/News/Read/A2024020614000003038?did=NA,https://n.news.naver.com/mnews/article/469/0000785399?sid=102
52,2024-02-14 17:50:00,"익산시, 명품 교육도시 조성 박차","인구 <b>감소</b> 문제에 대응하기 위해 마련됐다. 학생 수가 60명 이하인 농어촌 초등·중학교가 사업 대상이다.... 대학은 지역 특화 분야의 인재 양성을 담당하고, 익산시는 양질의 관련 <b>일자리</b>와 정주 여건을 제공해 교육-취업... ",http://www.enewstoday.co.kr/news/articleView.html?idxno=2090056,http://www.enewstoday.co.kr/news/articleView.html?idxno=2090056
53,2024-02-14 17:46:00,"익산시, 명품 교육도시 조성 박차",인구 <b>감소</b> 문제에 대응하기 위해 마련으며 학생 수가 60명 이하인 농어촌 초등·중학교가 사업 대상이다.... 대학은 지역 특화 분야의 인재 양성을 담당하고 시는 양질의 관련 <b>일자리</b>와 정주 여건을 제공해 교육-취업... ,https://gj.newdaily.co.kr/site/data/html/2024/02/14/2024021400389.html,https://gj.newdaily.co.kr/site/data/html/2024/02/14/2024021400389.html
54,2024-02-14 17:42:00,도민들에게 한 발 더 다가가는 도정 추진 박차,"지난 2022년 5월 13일 개소한 경남 민원콜센터는 <b>일자리</b>, 청년, 보건, 복지 등 도정 전반에 대해 지난해 총 4만... 상담콜센터는 하루 평균 150여 건의 여권 관련 상담을 추진해, 현장에서 대기시간 <b>감소</b> 등 도민의 불편을... ",https://www.pointdaily.co.kr/news/articleView.html?idxno=190492,https://www.pointdaily.co.kr/news/articleView.html?idxno=190492
55,2024-02-14 17:29:00,“국경 폐쇄” 외쳐야 민심 얻는다?… ‘이민자 나라’ 미국에서 왜 ‘반이민...,"물론 2020년에는 코로나19 팬데믹의 영향으로 밀입국 자체가 <b>감소</b>한데다 트럼프 전 대통령이 코로나19 확산... 않은 <b>일자리</b>가 있으며, 자국 내 노동자들만으로는 이를 채우기 부족한 실정이라고 전했다. 이같은 상황을 놓고... ",https://www.khan.co.kr/world/world-general/article/202402141727001,https://n.news.naver.com/mnews/article/032/0003278952?sid=104
56,2024-02-14 17:28:00,거창군 '교육발전특구 시범지역 1유형' 도전…경남 최초,"인구 <b>감소</b>로 지역 간 불균형 심화와 지역 소멸 우려에 대응하는 정책이며, 지자체·교육청·대학·기업 등이 협력해 지역 인재들이 지역에서 교육받고 <b>일자리</b>를 찾아 정착하는 선순환 생태를 조성하는 게 목적이다.... ",https://www.cnbnews.com/news/article.html?no=643410,https://www.cnbnews.com/news/article.html?no=643410
57,2024-02-14 17:22:00,"김성회 예비후보 &quot;동남4군, 충청메가시티 배후관광지로 육성&quot;","인구<b>감소</b>·지역소멸의 문제를 해결할 수 있다&quot;고 설명했다. 아울러 &quot;글로벌빌리지의 조성과 운영 과정에서... 3천명의 <b>일자리</b> 창출, 3천300억의 예산 집행 효과가 있을뿐 만 아니라, '글로벌빌리지', '제2의 새마을운동'과... ",http://www.jbnews.com/news/articleView.html?idxno=1425116,http://www.jbnews.com/news/articleView.html?idxno=1425116
58,2024-02-14 17:14:00,"전남 재정자립도, 전국 평균의 절반···지방 소멸 가속 우려",이는 지방소멸 핵심 이유인 인구 <b>감소</b> 심화 이유로 꼽힌다. 지방소멸 대응책으로 <b>일자리</b> 창출과 저출산 대책이 최우선 과제로 꼽히고 있다. 이에 많은 지자체가 지방소멸을 막기 위해 여러 가지 방안을 내놓고 있지만... ,http://www.mdilbo.com/detail/GQFJv6/712770,http://www.mdilbo.com/detail/GQFJv6/712770
59,2024-02-14 17:13:00,"제주살이 열풍의 종말···자연에 이끌렸다가, 현실에 질려 떠난다",맞는 <b>일자리</b>가 없어 이주는 포기했다”고 말했다. ‘자연환경이 좋은 제주에서 저녁이 있는 삶을 살겠다.... 관광 외 <b>일자리</b>가 부족하고 투자·기업 유치가 더뎌진 점 등도 영향을 미친 것으로 보인다. 제주로... ,https://www.khan.co.kr/local/Jeju/article/202402141711011,https://n.news.naver.com/mnews/article/032/0003278949?sid=102
60,2024-02-14 17:06:00,"거창군, 교육발전 시범지역 1유형 '도전장'","인구 <b>감소</b>로 지역 간 불균형 심화와 지역 소멸 우려에 대응하는 정책이며, 지자체·교육청·대학·기업 등이 협력해 지역 인재들이 지역에서 교육받고 <b>일자리</b>를 찾아 정착하는 선순환 생태를 조성하는 게 목적이다.... ",https://www.newsgn.com/news/articleView.html?idxno=404249,https://www.newsgn.com/news/articleView.html?idxno=404249
61,2024-02-14 17:01:00,"김원이 더불어민주당 목포시 예비후보, 공약 발표 기자회견",사용해 <b>일자리</b>를 창출하겠습니다. 신안 해상풍력과 목포신항만 배후단지에 관련 기업 450개를 유치할 경우... 목포와 서남권은 고령화와 인구<b>감소</b> 위기를 겪고 있는 만큼 목포.신안 선통합을 통해 물류.관광 등의 거점으로... ,http://www.inews24.com/view/1686952,https://n.news.naver.com/mnews/article/031/0000812641?sid=102
62,2024-02-14 17:00:00,현대차·기아…'주주환원+규제완화+실적' 추가상승 3박자 완성,<b>일자리 감소</b>와 경기 침체로 인해 유럽 내에서는 내연차 규제를 일부 완화하려는 목소리가 나온다. 미국에서는 트럼프 전 대통령이 차기 미국 대선의 유력 주자로 떠오르면서 다시 내연차 업체들이 수혜를 입을 수... ,http://news.mt.co.kr/mtview.php?no=2024021416344521471,https://n.news.naver.com/mnews/article/008/0004998678?sid=101
63,2024-02-14 16:56:00,"예상원 경남도의원, 밀양시장 도전","예 후보는 &quot;밀양은 고령화와 청년유출, 인구<b>감소</b>가 심화되고 농업 등 지역경제는 침체돼 중차대한 기로에 서... 조성하여 <b>일자리</b>를 확충하고, 읍면별로 계절근로자 숙소를 건립해 농촌의 일손 부족 문제를 해결해 농가의... ",http://www.agrinet.co.kr/news/articleView.html?idxno=324960,http://www.agrinet.co.kr/news/articleView.html?idxno=324960
64,2024-02-14 16:54:00,"경남도, 도민과 소통하는 도정 '박차'","지난 2022년 5월 13일 개소한 경남 민원콜센터는 <b>일자리</b>, 청년, 보건, 복지 등 도정 전반에 대해 지난해 총 4만... 상담콜센터는 하루 평균 150여 건의 여권 관련 상담을 추진해, 현장에서 대기시간 <b>감소</b> 등 도민의 불편을... ",https://www.ajunews.com/view/20240214164833202,https://www.ajunews.com/view/20240214164833202
65,2024-02-14 16:52:00,대전시민 삶의 만족도 높아졌다,<b>일자리</b> 안정성에 대한 부정적인 인식도 높아진 것으로 조사됐다. 대전세종연구원의 2023년 대전형 행복지표 조사결과에 따르면 대전시민의 전반적인 삶의 만족도 평균 점수는 2021년 60점에서 2022년 53.9점으로 <b>감소</b>했... ,https://www.ggilbo.com/news/articleView.html?idxno=1015267,https://www.ggilbo.com/news/articleView.html?idxno=1015267
66,2024-02-14 16:48:00,"거창군, 경남 최초 ‘교육발전특구 시범지역 1유형’ 도전",인구 <b>감소</b>로 지역 간 불균형 심화와 지역 소멸 우려에 대응하는 정책이다. 지방자치체·교육청·대학·기업 등이 협력해 지역 인재들이 지역에서 교육받고 <b>일자리</b>를 찾아 정착하는 선순환 생태를 조성하는 게 목적이다.... ,http://www.metroseoul.co.kr/article/20240214500547,http://www.metroseoul.co.kr/article/20240214500547
